"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Unit","0","Launchd backend","22","0","","0"
"0","Unit","0","Agent","21","0","","0"
"0","Unit","0","Manifest","15","0","","0"
"0","Unit","0","Systemd backend","45","0","","0"
"0","Binary usage","0","Daemon lifecycle","9","0","","0"
"0","Unit","0","Skills","12","0","","0"
"0","Unit","0","Chat runner","12","0","","0"
"0","Unit","0","Windows SCM backend","6","0","","0"
"0","Binary usage","0","Personas","0","6","","0"
"0","","0","","0","17","","0"
"0","Unit","0","Keys & config","9","0","","0"
"0","Unit","0","Daemon","18","0","","0"
"0","Binary usage","0","CLI","12","0","","0"
"0","Unit","0","Runtime","9","0","","0"
"0","Unit","0","Action plane","3","0","","0"
"0","Unit","0","Personas","6","0","","0"
"0","Installer","0","Installer script","3","0","","0"
"0","Unit","0","Providers","6","0","","0"
"0","Unit","0","Prompt assembly","3","0","","0"
"0","Unit","0","Daemon client","3","0","","0"
