"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1768","test_static_spawn_and_talk","Binary usage","Wed Jun 10 16:49:42 UTC 2026","skipped","Wed Jun 10 16:49:43 UTC 2026","","Personas","",""
"","0","test_keys_config_for_provider_filters_by_type","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","Key config","",""
"","0","test_install_rolls_back_when_bootstrap_fails","tests","Wed Jun 10 16:48:24 UTC 2026","skipped","Wed Jun 10 16:48:24 UTC 2026","","test_service_launchd","",""
"","894","test_keys_list_empty","Binary usage","Wed Jun 10 16:49:32 UTC 2026","passed","Wed Jun 10 16:49:33 UTC 2026","","CLI","",""
"","0","test_manifest_reads_construction_fields_from_extensions","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Manifest","",""
"","1","test_agent_uses_default_empty_message_hint","Unit","Wed Jun 10 16:48:22 UTC 2026","passed","Wed Jun 10 16:48:22 UTC 2026","","Agent","",""
"","1","test_agent_manager_reports_missing_key","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Daemon core","",""
"","2","test_daemon_client_reports_unavailable_daemon","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","Daemon RPC client","",""
"","0","test_status_normalizes_reloading_to_running","Unit","Wed Jun 10 16:48:24 UTC 2026","passed","Wed Jun 10 16:48:24 UTC 2026","","systemd backend","",""
"","0","test_status_running_when_pid_present","Unit","Wed Jun 10 16:47:22 UTC 2026","passed","Wed Jun 10 16:47:22 UTC 2026","","launchd backend","",""
"","0","test_manifest_accepts_minimal_shape","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","Manifest","",""
"","0","test_start_when_stopped_calls_startservice","tests","Wed Jun 10 16:47:28 UTC 2026","skipped","Wed Jun 10 16:47:28 UTC 2026","","test_service_windows","",""
"","0","test_uninstall_quiet_when_unit_not_loaded","Unit","Wed Jun 10 16:47:28 UTC 2026","passed","Wed Jun 10 16:47:28 UTC 2026","","systemd backend","",""
"","1237","test_personas_list_shows_defaults","Binary usage","Wed Jun 10 16:50:29 UTC 2026","skipped","Wed Jun 10 16:50:30 UTC 2026","","Personas","",""
